packet_index,strategy_id,path_id,sequence_num,fragment_id,total_fragments,send_delay_ms,arrival_time_ms,ip_id_decimal,ip_id_hex,target_packet_length,packet_length,payload_bytes,analysis_hint
238,5,1,1,238,444,0.0,0.0,55097,0xd739,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
239,5,2,1,239,444,0.0,0.0,56266,0xdbca,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
240,5,0,1,240,444,0.0,0.0,53590,0xd156,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
241,5,1,1,241,444,0.0,0.0,55078,0xd726,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
242,5,2,1,242,444,0.0,0.0,56279,0xdbd7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
243,5,1,1,243,444,0.0,0.0,55076,0xd724,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
244,5,2,1,244,444,0.0,0.0,56273,0xdbd1,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
245,5,0,1,245,444,0.0,0.0,53587,0xd153,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
246,5,0,1,246,444,0.0,0.0,53584,0xd150,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
247,5,1,1,247,444,0.0,0.0,55072,0xd720,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
248,5,2,1,248,444,0.0,0.0,56285,0xdbdd,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
249,5,0,1,249,444,0.0,0.0,53599,0xd15f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
250,5,1,1,250,444,0.0,0.0,55085,0xd72d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
251,5,2,1,251,444,0.0,0.0,56286,0xdbde,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
252,5,0,1,252,444,0.0,0.0,53594,0xd15a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
253,5,1,1,253,444,0.0,0.0,55082,0xd72a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
254,5,2,1,254,444,0.0,0.0,56283,0xdbdb,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
255,5,1,1,255,444,0.0,0.0,55080,0xd728,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
256,5,2,1,256,444,0.0,0.0,55845,0xda25,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
257,5,0,1,257,444,0.0,0.0,53415,0xd0a7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
258,5,0,1,258,444,0.0,0.0,53412,0xd0a4,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
259,5,1,1,259,444,0.0,0.0,54996,0xd6d4,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
260,5,2,1,260,444,0.0,0.0,55841,0xda21,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
261,5,0,1,261,444,0.0,0.0,53411,0xd0a3,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
262,5,2,1,262,444,0.0,0.0,55843,0xda23,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
263,5,1,1,263,444,0.0,0.0,54992,0xd6d0,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
264,5,0,1,264,444,0.0,0.0,53422,0xd0ae,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
265,5,1,1,265,444,0.0,0.0,55006,0xd6de,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
266,5,2,1,266,444,0.0,0.0,55855,0xda2f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
267,5,1,1,267,444,0.0,0.0,55004,0xd6dc,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
268,5,2,1,268,444,0.0,0.0,55849,0xda29,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
269,5,0,1,269,444,0.0,0.0,53419,0xd0ab,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
270,5,0,1,270,444,0.0,0.0,53416,0xd0a8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
271,5,1,1,271,444,0.0,0.0,55000,0xd6d8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
272,5,2,1,272,444,0.0,0.0,55861,0xda35,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
273,5,0,1,273,444,0.0,0.0,53431,0xd0b7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
274,5,2,1,274,444,0.0,0.0,55863,0xda37,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
275,5,1,1,275,444,0.0,0.0,54980,0xd6c4,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
276,5,0,1,276,444,0.0,0.0,53426,0xd0b2,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
277,5,1,1,277,444,0.0,0.0,54978,0xd6c2,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
278,5,2,1,278,444,0.0,0.0,55859,0xda33,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
279,5,1,1,279,444,0.0,0.0,54976,0xd6c0,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
280,5,2,1,280,444,0.0,0.0,55869,0xda3d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
281,5,0,1,281,444,0.0,0.0,53439,0xd0bf,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
282,5,0,1,282,444,0.0,0.0,53436,0xd0bc,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
283,5,1,1,283,444,0.0,0.0,54988,0xd6cc,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
284,5,2,1,284,444,0.0,0.0,55865,0xda39,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
285,5,0,1,285,444,0.0,0.0,53435,0xd0bb,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
286,5,2,1,286,444,0.0,0.0,55867,0xda3b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
287,5,1,1,287,444,0.0,0.0,54984,0xd6c8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
288,5,0,1,288,444,0.0,0.0,53382,0xd086,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
289,5,1,1,289,444,0.0,0.0,55030,0xd6f6,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
290,5,2,1,290,444,0.0,0.0,55815,0xda07,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
291,5,1,1,291,444,0.0,0.0,55028,0xd6f4,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
292,5,2,1,292,444,0.0,0.0,55809,0xda01,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
293,5,0,1,293,444,0.0,0.0,53379,0xd083,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
294,5,0,1,294,444,0.0,0.0,53376,0xd080,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
295,5,1,1,295,444,0.0,0.0,55024,0xd6f0,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
296,5,2,1,296,444,0.0,0.0,55821,0xda0d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
297,5,0,1,297,444,0.0,0.0,53391,0xd08f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
298,5,2,1,298,444,0.0,0.0,55823,0xda0f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
299,5,1,1,299,444,0.0,0.0,55036,0xd6fc,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
300,5,0,1,300,444,0.0,0.0,53386,0xd08a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
301,5,1,1,301,444,0.0,0.0,55034,0xd6fa,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
302,5,2,1,302,444,0.0,0.0,55819,0xda0b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
303,5,1,1,303,444,0.0,0.0,55032,0xd6f8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
304,5,2,1,304,444,0.0,0.0,55829,0xda15,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
